# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1306994	1308145	+	HFCAGB_01300	flhB	flagellar biosynthesis protein FlhB	GO:0015031, GO:0016020, GO:0044780, KEGG:K02401, RefSeq:WP_000797090.1, SO:0001217, UniParc:UPI00016A241D, UniRef:UniRef100_A0A3Y2QQG7, UniRef:UniRef50_P76299, UniRef:UniRef90_A0A659QP43
contig_1	cds	1308138	1310216	+	HFCAGB_01301	flhA	flagellar biosynthesis protein FlhA	COG:COG1298, COG:N, GO:0005886, GO:0006935, GO:0009288, GO:0016020, GO:0030254, GO:0030257, GO:0044780, GO:0071973, GO:0120102, KEGG:K02400, RefSeq:WP_000002392.1, SO:0001217, UniParc:UPI0000059CE4, UniRef:UniRef100_A0A1U7FKA4, UniRef:UniRef50_P76298, UniRef:UniRef90_P76298
contig_1	cds	1310216	1310608	+	HFCAGB_01302	flhE	flagellar protein FlhE	BlastRules:WP_001233619, BlastRules:WP_001259583, GO:0044781, KEGG:K03516, RefSeq:WP_001233619.1, SO:0001217, UniParc:UPI0000059CE5, UniRef:UniRef100_P0A1N4, UniRef:UniRef50_P76297, UniRef:UniRef90_P0A1N4
contig_1	cds	1310844	1311983	+	HFCAGB_01303	yesR	Glycoside hydrolase family 105 protein	COG:COG4225, COG:G, EC:3.2.1.172, KEGG:K15532, RefSeq:WP_000989899.1, SO:0001217, UniParc:UPI00016A241E, UniRef:UniRef100_A0A3Z2MX51, UniRef:UniRef50_E0SDL0, UniRef:UniRef90_A0A379TCS9
contig_1	cds	1312037	1313908	-	HFCAGB_01304	mrdA	serine-type D-Ala-D-Ala carboxypeptidase MrdA	BlastRules:WP_000142877, EC:3.4.16.4, GO:0003824, GO:0008658, GO:0009252, GO:0016020, KEGG:K05515, RefSeq:WP_000142879.1, SO:0001217, UniParc:UPI00016A241F, UniRef:UniRef100_A0A3Z0XRW3, UniRef:UniRef50_A0A2X4WA65, UniRef:UniRef90_A0A3Z0XRW3
contig_1	cds	1314097	1315830	-	HFCAGB_01305	argS	arginine--tRNA ligase	COG:COG0018, COG:J, EC:6.1.1.19, GO:0004814, GO:0005524, GO:0005737, GO:0006420, RefSeq:WP_001025366.1, SO:0001217, UniParc:UPI00016A18A5, UniRef:UniRef100_B5FSM1, UniRef:UniRef50_P11875, UniRef:UniRef90_A6TB43
contig_1	cds	1316067	1316636	+	HFCAGB_01306		VOC family protein	KEGG:K09907, RefSeq:WP_000024799.1, SO:0001217, UniParc:UPI00016A036B, UniRef:UniRef100_A0A3Y2QQ40, UniRef:UniRef50_P52007, UniRef:UniRef90_A9MNC5
contig_1	cds	1316656	1317402	+	HFCAGB_01307	cutC	copper homeostasis protein CutC	GO:0005507, GO:0005737, GO:0055070, RefSeq:WP_001185770.1, SO:0001217, UniParc:UPI00000CD17B, UniRef:UniRef100_Q8ZNV0, UniRef:UniRef50_P67826, UniRef:UniRef90_Q8ZNV0
contig_1	ncRNA	1317174	1317481	+	HFCAGB_01308	micL	MicL sRNA	RFAM:RF02654, SO:0000655
contig_1	cds	1317638	1318609	-	HFCAGB_01309	cmoB	tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB	COG:COG2227, COG:H, EC:2.5.1.-, GO:0002098, GO:0016765, RefSeq:WP_000569026.1, SO:0001217, UniParc:UPI00016A036C, UniRef:UniRef100_B5F3I4, UniRef:UniRef50_P76291, UniRef:UniRef90_Q8ZNV1
contig_1	cds	1318606	1319349	-	HFCAGB_01310	cmoA	carboxy-S-adenosyl-L-methionine synthase CmoA	COG:C, COG:COG4106, EC:2.1.3.-, GO:0002098, GO:0016743, GO:1904047, RefSeq:WP_000019609.1, SO:0001217, UniParc:UPI0000059CEB, UniRef:UniRef100_Q7CQC4, UniRef:UniRef50_P76290, UniRef:UniRef90_P76290
contig_1	cds	1319390	1319785	-	HFCAGB_01311	yecN	Inner membrane protein YecN	COG:COG3788, COG:S, RefSeq:WP_000252975.1, SO:0001217, UniParc:UPI0000059CEC, UniRef:UniRef100_Q7CQC5, UniRef:UniRef50_P64515, UniRef:UniRef90_A0A090V4Y9
contig_1	cds	1319838	1320656	-	HFCAGB_01312		DUF72 domain-containing protein	RefSeq:WP_000639226.1, SO:0001217, UniParc:UPI0000059CED, UniRef:UniRef100_Q7CQC6, UniRef:UniRef50_P37348, UniRef:UniRef90_S5NG45
contig_1	cds	1320653	1321219	-	HFCAGB_01313		hydrolase	RefSeq:WP_000916144.1, SO:0001217, UniParc:UPI0000059CEE, UniRef:UniRef100_Q7CQC7, UniRef:UniRef50_A0A2U3D6J9, UniRef:UniRef90_A9MND1
contig_1	cds	1321544	1323316	+	HFCAGB_01314	aspS	aspartate--tRNA ligase	COG:COG0173, COG:J, EC:6.1.1.-, EC:6.1.1.12, GO:0003676, GO:0004815, GO:0005524, GO:0005737, GO:0006422, RefSeq:WP_001258629.1, SO:0001217, UniParc:UPI00016A036D, UniRef:UniRef100_B5FSN0, UniRef:UniRef50_P21889, UniRef:UniRef90_P21889
contig_1	cds	1323419	1323871	+	HFCAGB_01315	nudB	dihydroneopterin triphosphate diphosphatase	COG:COG0494, COG:V, EC:3.6.1.67, GO:0004081, GO:0006167, GO:0006754, GO:0008828, GO:0019177, GO:0046656, GO:0046872, RefSeq:WP_000653695.1, SO:0001217, UniParc:UPI00016A036E, UniRef:UniRef100_A0A5Z7BBX3, UniRef:UniRef50_P0AFC0, UniRef:UniRef90_P0AFC0
contig_1	cds	1323901	1324641	+	HFCAGB_01316	yebC	YebC/PmpR family DNA-binding transcriptional regulator	COG:COG0217, COG:KJ, GO:0003677, GO:0005829, GO:0006355, RefSeq:WP_000907242.1, SO:0001217, UniParc:UPI0000059CF1, UniRef:UniRef100_P67179, UniRef:UniRef50_P0A8A0, UniRef:UniRef90_P0A8A0
contig_1	cds	1324678	1325199	+	HFCAGB_01317	ruvC	crossover junction endodeoxyribonuclease RuvC	COG:COG0817, COG:L, EC:3.1.21.10, GO:0000287, GO:0003677, GO:0005737, GO:0006281, GO:0006310, GO:0008821, GO:0048476, KEGG:K01159, RefSeq:WP_000022510.1, SO:0001217, UniParc:UPI000160423E, UniRef:UniRef100_B5FSN3, UniRef:UniRef50_P0A814, UniRef:UniRef90_P0A814
contig_1	cds	1325230	1326726	+	HFCAGB_01318		Phosphate ABC transporter substrate-binding protein	RefSeq:WP_000974702.1, SO:0001217, UniParc:UPI00016A036F, UniRef:UniRef100_A0A712D807, UniRef:UniRef50_L0M4T7, UniRef:UniRef90_A0A3U6NMN2
contig_1	cds	1326826	1327422	-	HFCAGB_01319	yebB	YebB family permuted papain-like enzyme	RefSeq:WP_000716751.1, SO:0001217, UniParc:UPI0001604240, UniRef:UniRef100_A0A603BND2, UniRef:UniRef50_P24238, UniRef:UniRef90_A0A4Z0N934
contig_1	cds	1327631	1328323	+	HFCAGB_01320		Inner membrane protein	RefSeq:WP_001675835.1, SO:0001217, UniParc:UPI00017F77DE, UniRef:UniRef100_A0A754EVE8, UniRef:UniRef50_V1GTL3, UniRef:UniRef90_A0A4Z0NEU5
contig_1	cds	1328683	1329294	+	HFCAGB_01321	ruvA	Holliday junction branch migration protein RuvA	EC:3.6.4.12, GO:0000400, GO:0003678, GO:0005524, GO:0005737, GO:0006281, GO:0006310, GO:0009378, GO:0009379, GO:0036121, GO:0048476, GO:0061749, GO:1990518, RefSeq:WP_000580335.1, SO:0001217, UniParc:UPI0000059CF5, UniRef:UniRef100_P66746, UniRef:UniRef50_P0A809, UniRef:UniRef90_P66746
contig_1	cds	1329303	1330313	+	HFCAGB_01322	ruvB	Holliday junction branch migration DNA helicase RuvB	COG:COG2255, COG:L, EC:3.6.4.-, EC:3.6.4.12, GO:0000400, GO:0003677, GO:0003689, GO:0005524, GO:0005737, GO:0006281, GO:0006310, GO:0009378, GO:0016887, GO:0036121, GO:0048476, GO:0061749, GO:0061775, GO:0140584, GO:0140665, GO:0140849, GO:1990518, RefSeq:WP_000568508.1, SO:0001217, UniParc:UPI0000059CF6, UniRef:UniRef100_P66755, UniRef:UniRef50_P0A812, UniRef:UniRef90_P0A812
contig_1	cds	1330392	1331177	-	HFCAGB_01323	znuB	zinc ABC transporter permease subunit ZnuB	COG:COG1108, COG:P, EC:7.2.2.-, GO:0000006, GO:0005886, GO:0010043, GO:0016020, GO:0042626, GO:0055052, GO:0055085, GO:0071578, RefSeq:WP_000571506.1, SO:0001217, UniParc:UPI00016A0372, UniRef:UniRef100_A0A3R0WTT5, UniRef:UniRef50_P39832, UniRef:UniRef90_P39832
contig_1	cds	1331174	1331929	-	HFCAGB_01324	znuC	zinc ABC transporter ATP-binding protein ZnuC	COG:COG1121, COG:P, EC:7.2.2.-, EC:7.2.2.20, GO:0005524, GO:0005886, GO:0006829, GO:0010043, GO:0015633, GO:0016887, RefSeq:WP_000203013.1, SO:0001217, UniParc:UPI00016A0373, UniRef:UniRef100_A0A5V7LZH9, UniRef:UniRef50_P0A9X1, UniRef:UniRef90_P0A9X1
contig_1	cds	1331951	1332952	+	HFCAGB_01325	znuA	zinc ABC transporter substrate-binding protein ZnuA	EC:7.2.2.-, GO:0006829, GO:0046872, RefSeq:WP_012543344.1, SO:0001217, UniParc:UPI00000CD174, UniRef:UniRef100_Q8ZNV8, UniRef:UniRef50_P39172, UniRef:UniRef90_Q8ZNV8
contig_1	cds	1332968	1334287	+	HFCAGB_01326	mepM	murein DD-endopeptidase MepM	COG:COG3061, COG:D, EC:3.4.24.-, GO:0004222, GO:0005886, GO:0006508, GO:0042834, GO:0045227, GO:0046872, GO:0071555, RefSeq:WP_001184028.1, SO:0001217, UniParc:UPI00000D505F, UniRef:UniRef100_Q8ZNV9, UniRef:UniRef50_P0AFS9, UniRef:UniRef90_P0AFS9
contig_1	cds	1334404	1335375	+	HFCAGB_01327	lpxM	lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase	COG:COG1560, COG:I, EC:2.3.1.243, GO:0005886, GO:0009103, GO:0009276, GO:0016020, GO:0016747, GO:0019107, GO:0036104, KEGG:K02517, RefSeq:WP_000448401.1, SO:0001217, UniParc:UPI0000059CFB, UniRef:UniRef100_H9L440, UniRef:UniRef50_P24205, UniRef:UniRef90_P24205
contig_1	cds	1335448	1336890	-	HFCAGB_01328	pyk	pyruvate kinase	COG:COG0469, COG:G, EC:2.7.1.40, GO:0000287, GO:0004743, GO:0005524, GO:0005737, GO:0005829, GO:0006096, GO:0016301, GO:0030955, KEGG:K00873, RefSeq:WP_000091156.1, SO:0001217, UniParc:UPI00000CD173, UniRef:UniRef100_Q8ZNW0, UniRef:UniRef50_P21599, UniRef:UniRef90_P21599
contig_1	cds	1337014	1337883	-	HFCAGB_01329	rpiR	Transcriptional regulator	COG:COG1737, COG:K, KEGG:K19337, RefSeq:WP_001056720.1, SO:0001217, UniParc:UPI00000CD172, UniRef:UniRef100_Q8ZNW1, UniRef:UniRef50_Q88P32, UniRef:UniRef90_C3T5V2
contig_1	cds	1338225	1339700	+	HFCAGB_01330	zwf	glucose-6-phosphate dehydrogenase	COG:COG0364, COG:G, EC:1.1.1.49, GO:0004345, GO:0005829, GO:0006006, GO:0006098, GO:0009051, GO:0009372, GO:0016614, GO:0042802, GO:0050661, KEGG:K00036, RefSeq:WP_000301704.1, SO:0001217, UniParc:UPI00016A05A1, UniRef:UniRef100_A0A3U7HI69, UniRef:UniRef50_P0AC53, UniRef:UniRef90_P0AC53
contig_1	cds	1339935	1341746	+	HFCAGB_01331	edd	phosphogluconate dehydratase	COG:COG0129, COG:EG, EC:4.2.1.12, GO:0004456, GO:0005829, GO:0009255, GO:0046177, GO:0046872, GO:0051539, RefSeq:WP_001069124.1, SO:0001217, UniParc:UPI0000059CFF, UniRef:UniRef100_A0A621DVW1, UniRef:UniRef50_P0ADF6, UniRef:UniRef90_P0ADF6
contig_1	cds	1341784	1342425	+	HFCAGB_01332	kdgA	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase	BlastRules:WP_000800512, COG:COG0800, COG:G, EC:4.1.2.14, EC:4.1.3.16, GO:0005737, GO:0008675, GO:0008700, GO:0106009, RefSeq:WP_000800494.1, SO:0001217, UniParc:UPI000048EBD0, UniRef:UniRef100_A0A5W3GHT0, UniRef:UniRef50_P0A955, UniRef:UniRef90_P0A955
contig_1	cds	1342525	1343703	-	HFCAGB_01333	purT	formate-dependent phosphoribosylglycinamide formyltransferase	EC:2.1.2.-, EC:6.3.1.21, GO:0000287, GO:0004644, GO:0005524, GO:0005829, GO:0006189, GO:0009152, GO:0043815, KEGG:K08289, RefSeq:WP_000173430.1, SO:0001217, UniParc:UPI000169FBB2, UniRef:UniRef100_B5FSQ0, UniRef:UniRef50_P46927, UniRef:UniRef90_Q8ZNW5
contig_1	cds	1343834	1344124	+	HFCAGB_01334	yebG	DNA damage-inducible protein YebG	KEGG:K09918, RefSeq:WP_000257723.1, SO:0001217, UniParc:UPI00000CD16D, UniRef:UniRef100_Q8ZNW6, UniRef:UniRef50_B2VJ72, UniRef:UniRef90_A9MNE9
contig_1	cds	1344192	1344545	+	HFCAGB_01335	yebF	protein YebF	GO:0005576, RefSeq:WP_001042123.1, SO:0001217, UniParc:UPI0000059D03, UniRef:UniRef100_B5F3L0, UniRef:UniRef50_Q8ZNW7, UniRef:UniRef90_Q8ZNW7
contig_1	cds	1344639	1345298	+	HFCAGB_01336	yebE	Inner membrane protein YebE	RefSeq:WP_000024709.1, SO:0001217, UniParc:UPI00016042E9, UniRef:UniRef100_A0A5W7MP84, UniRef:UniRef50_A0A0K0HBM0, UniRef:UniRef90_A0A0K0HBM0
contig_1	cds	1345511	1347562	+	HFCAGB_01337	ptrB	oligopeptidase B	EC:3.4.21.83, RefSeq:WP_000936999.1, SO:0001217, UniParc:UPI00000CD16A, UniRef:UniRef100_Q8ZNW9, UniRef:UniRef50_P24555, UniRef:UniRef90_A0A379SNC0
contig_1	cds	1347599	1348297	-	HFCAGB_01338	exoX	exodeoxyribonuclease X	EC:3.1.11.-, RefSeq:WP_000944287.1, SO:0001217, UniParc:UPI00016042EB, UniRef:UniRef100_A0A5Z3FS09, UniRef:UniRef50_A0A380SI36, UniRef:UniRef90_Q7CQC9
contig_1	cds	1348321	1348977	-	HFCAGB_01339		CN hydrolase domain-containing protein	RefSeq:WP_000100257.1, SO:0001217, UniParc:UPI00004F7D03, UniRef:UniRef100_A0A4Z0L9G4, UniRef:UniRef50_P76280, UniRef:UniRef90_A0A0K0HBC7
contig_1	cds	1349085	1349315	-	HFCAGB_01340		DNA polymerase III, theta subunit	EC:2.7.7.7, KEGG:K02345, RefSeq:WP_000856224.1, SO:0001217, UniParc:UPI0000059D08, UniRef:UniRef100_Q7CQD0, UniRef:UniRef50_A0A1V2BHY2, UniRef:UniRef90_Q7CQD0
contig_1	cds	1349453	1349827	+	HFCAGB_01341	yobA	CopC domain-containing protein YobA	GO:0005507, GO:0006825, GO:0046688, RefSeq:WP_000168392.1, SO:0001217, UniParc:UPI00016A05A2, UniRef:UniRef100_A0A8X6K058, UniRef:UniRef50_A0A2I5HFK5, UniRef:UniRef90_A0A2I5HFK5
contig_1	cds	1349828	1350703	+	HFCAGB_01342	copD	copper homeostasis membrane protein CopD	GO:0006825, GO:0016020, RefSeq:WP_000979703.1, SO:0001217, UniParc:UPI00016A05A3, UniRef:UniRef100_A0A3Y2QQ36, UniRef:UniRef50_A0A379TCN1, UniRef:UniRef90_A0A379TCN1
contig_1	cds	1350720	1351073	+	HFCAGB_01343	yebY	YebY	RefSeq:WP_000722372.1, SO:0001217, UniParc:UPI00016A05A4, UniRef:UniRef100_A0A711G928, UniRef:UniRef50_P64506, UniRef:UniRef90_A9MNF8
contig_1	ncRNA	1351176	1351320	-	HFCAGB_01344	SraC_RyeA	SraC/RyeA RNA	RFAM:RF00101, SO:0000655
contig_1	ncRNA	1351217	1351316	+	HFCAGB_01345	SdsR_RyeB	SdsR_RyeB RNA	RFAM:RF00111, SO:0000655
contig_1	cds	1351456	1352535	-	HFCAGB_01346		Phage integrase protein	RefSeq:WP_000087638.1, SO:0001217, UniParc:UPI00016A05A5, UniRef:UniRef100_A0A616W5C9, UniRef:UniRef50_A0A8S5Q0Z1, UniRef:UniRef90_Q8ZNX5
contig_1	cds	1352849	1353277	-	HFCAGB_01347		HNH endonuclease	RefSeq:WP_000743301.1, SO:0001217, UniParc:UPI00016A05A7, UniRef:UniRef100_A0A8E6XIA4, UniRef:UniRef50_A0A379S1I4, UniRef:UniRef90_A0A379S1I4
contig_1	cds	1353376	1353561	-	HFCAGB_01348		DUF1187 domain-containing protein	KEGG:K19780, RefSeq:WP_000280163.1, SO:0001217, UniParc:UPI00016A05A8, UniRef:UniRef100_A0A3U8W7E6, UniRef:UniRef50_A0A3F3IK47, UniRef:UniRef90_A0A7Z1KIK8
contig_1	cds	1353608	1354438	-	HFCAGB_01349	recT	recombination protein RecT	GO:0003677, GO:0006259, KEGG:K07455, RefSeq:WP_001126030.1, SO:0001217, UniParc:UPI00016A05A9, UniRef:UniRef100_A0A3Z2MZV3, UniRef:UniRef50_A0A749BUF7, UniRef:UniRef90_A0A749BUF7
contig_1	cds	1354431	1357121	-	HFCAGB_01350	recE	exodeoxyribonuclease VIII	EC:3.1.11.-, GO:0051908, GO:0090304, KEGG:K10906, RefSeq:WP_000023732.1, SO:0001217, UniParc:UPI00016A07D6, UniRef:UniRef100_A0A5Y1YUX7, UniRef:UniRef50_A0A4V1HP60, UniRef:UniRef90_A0A5Y1YUX7
contig_1	cds	1357262	1357597	-	HFCAGB_01351	lygB	LygB	RefSeq:WP_000799627.1, SO:0001217, UniParc:UPI0000E2BC1E, UniRef:UniRef100_A0A618EH26, UniRef:UniRef50_A0A379S377, UniRef:UniRef90_A0A379S377
contig_1	cds	1357673	1357879	-	HFCAGB_01352		Cell division inhibitor protein	RefSeq:WP_000682660.1, SO:0001217, UniParc:UPI00016A07D7, UniRef:UniRef100_A0A379S1P9, UniRef:UniRef50_A0A379S1P9, UniRef:UniRef90_A0A379S1P9
contig_1	cds	1357883	1358158	-	HFCAGB_01353		Phage protein	RefSeq:WP_000103933.1, SO:0001217, UniParc:UPI00016A07D8, UniRef:UniRef100_A0A379S5K5, UniRef:UniRef50_A0A379S5K5, UniRef:UniRef90_A0A379S5K5
contig_1	cds	1358507	1358773	-	HFCAGB_01354		(pseudo) hypothetical protein	RefSeq:WP_000687579.1, SO:0001217, UniParc:UPI00016A07D9, UniRef:UniRef100_A0A3T2YK51, UniRef:UniRef50_A0A3T2YK51, UniRef:UniRef90_A0A3T2YK51
contig_1	cds	1358770	1358877	-	HFCAGB_01355		hypothetical protein	
contig_1	cds	1359176	1359508	-	HFCAGB_01356		Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0D7LYZ4, UniRef:UniRef90_A0A3Z4X2K3
contig_1	cds	1359673	1359927	+	HFCAGB_01357		XRE family transcriptional regulator	RefSeq:WP_001033912.1, SO:0001217, UniParc:UPI00016A07DB, UniRef:UniRef100_A0A3Z3WLS4, UniRef:UniRef50_A0A5E7GHC0, UniRef:UniRef90_A0A2T8SW85
contig_1	cds	1359914	1360408	+	HFCAGB_01358	ydaT	Bacterial toxin YdaT domain-containing protein	RefSeq:WP_001574210.1, SO:0001217, UniParc:UPI00016A07DC, UniRef:UniRef100_A0A3U5YT65, UniRef:UniRef50_A0A403QQ77, UniRef:UniRef90_A0A2T8SW93
contig_1	cds	1360455	1361453	+	HFCAGB_01359	dnaT	DnaT DNA-binding domain-containing protein	KEGG:K02317, RefSeq:WP_000729536.1, SO:0001217, UniParc:UPI00017F77B0, UniRef:UniRef100_A0A3Y9LKY7, UniRef:UniRef50_A0A3F3IKI9, UniRef:UniRef90_A0A5R1YDS6
contig_1	cds	1361446	1361907	+	HFCAGB_01360		Replication protein	SO:0001217, UniParc:UPI00016A07DF, UniRef:UniRef100_A0A754K8S6, UniRef:UniRef50_A0A0H3JLB7, UniRef:UniRef90_A0A5T9BLN5
contig_1	cds	1361920	1362315	+	HFCAGB_01361		DNA-binding protein	RefSeq:WP_000089417.1, SO:0001217, UniParc:UPI00016A07E0, UniRef:UniRef100_A0A3Z2MZ31, UniRef:UniRef50_A0A7Z1QEU1, UniRef:UniRef90_A0A379UNF8
contig_1	cds	1362602	1363732	-	HFCAGB_01362		diguanylate cyclase	RefSeq:WP_000529512.1, SO:0001217, UniParc:UPI0002694AE3, UniRef:UniRef100_B5R8P2, UniRef:UniRef50_A0A379UPH6, UniRef:UniRef90_A0A379UPH6
contig_1	cds	1364129	1366108	+	HFCAGB_01363	bDS1	Metallo-beta-lactamase domain-containing protein	COG:COG2015, COG:Q, EC:3.1.6.21, KEGG:K25227, RefSeq:WP_001237395.1, SO:0001217, UniParc:UPI00016A02A7, UniRef:UniRef100_A0AAE8YFJ2, UniRef:UniRef50_A0A291QXQ3, UniRef:UniRef90_A0A806X7N9
contig_1	cds	1366740	1367045	+	HFCAGB_01364		Bacteriophage cohesive ends	RefSeq:WP_000972675.1, SO:0001217, UniParc:UPI00016A07E3, UniRef:UniRef100_A0A3V5HBT5, UniRef:UniRef50_A0A3V5HBT5, UniRef:UniRef90_A0A3V5HBT5
contig_1	cds	1367109	1367708	+	HFCAGB_01365		DUF1367 domain-containing protein	RefSeq:WP_000940753.1, SO:0001217, UniParc:UPI00016A07E4, UniRef:UniRef100_A0AAE8YFL9, UniRef:UniRef50_Q8Z609, UniRef:UniRef90_A0A7Z1KIR3
contig_1	cds	1367705	1367932	+	HFCAGB_01366	ninG	Protein ninG	RefSeq:WP_000784710.1, SO:0001217, UniParc:UPI00016A07E5, UniRef:UniRef100_A0AAE9C719, UniRef:UniRef50_A0AAE9C719, UniRef:UniRef90_A0AAE9C719
contig_1	cds	1368062	1368709	+	HFCAGB_01367		Antiterminator	RefSeq:WP_001097219.1, SO:0001217, UniParc:UPI00016A07E6, UniRef:UniRef100_A0A711EE36, UniRef:UniRef50_A0A377ZPB5, UniRef:UniRef90_A0A711EE36
contig_1	cds	1368806	1369330	+	HFCAGB_01368		DUF1851 domain-containing protein	RefSeq:WP_001574213.1, SO:0001217, UniParc:UPI00017F77B3, UniRef:UniRef100_A0AAE9C6Q0, UniRef:UniRef50_A0A3V9NTY6, UniRef:UniRef90_A0A3V9NTY6
contig_1	cds	1369704	1370153	-	HFCAGB_01369		Lipoprotein	RefSeq:WP_000798708.1, SO:0001217, UniParc:UPI00016A07E8, UniRef:UniRef100_A0AAE8YFJ5, UniRef:UniRef50_A0A076LFE1, UniRef:UniRef90_A0A505CLW1
contig_1	cds	1370370	1370507	+	HFCAGB_01370		Holin	SO:0001217, UniParc:UPI00024F1F48, UniRef:UniRef100_A0AAE8YG67, UniRef:UniRef50_A0AAE8YG67, UniRef:UniRef90_A0AAE8YG67
contig_1	cds	1370514	1370987	-	HFCAGB_01371	gtgA	type III secretion system effector protease GtgA	KEGG:K23941, NCBIProtein:CBW17061.1, SO:0001217, UniParc:UPI00017F77B5, UniRef:UniRef100_A0A1X8WDE0, UniRef:UniRef50_Q8ZPJ4, UniRef:UniRef90_A0A5V8M872
contig_1	cds	1371470	1371805	+	HFCAGB_01372		phage holin, lambda family	GO:0019835, SO:0001217, UniParc:UPI00016639FF, UniRef:UniRef100_Q8ZMY8, UniRef:UniRef50_A0A094S0J1, UniRef:UniRef90_A0AA40TJB6
contig_1	cds	1371789	1372241	+	HFCAGB_01373		Lysozyme	RefSeq:WP_000984586.1, SO:0001217, UniParc:UPI00000E5865, UniRef:UniRef100_Q8ZQ99, UniRef:UniRef50_A0A7D7IL51, UniRef:UniRef90_Q8ZQ99
contig_1	cds	1372238	1372738	+	HFCAGB_01374		Lysis protein	SO:0001217, UniParc:UPI00016A07EC, UniRef:UniRef100_Q8ZQ98, UniRef:UniRef50_Q9XJJ6, UniRef:UniRef90_A0A7Z1QI57
contig_1	cds	1372895	1373479	+	HFCAGB_01375		DUF1441 domain-containing protein	SO:0001217, UniRef:UniRef50_M7RD82, UniRef:UniRef90_M7RD82
contig_1	cds	1373439	1375574	+	HFCAGB_01376		Gifsy-2 prophage protein	SO:0001217, UniParc:UPI0001B97004, UniRef:UniRef100_Q8ZQ96, UniRef:UniRef50_A0A7R7D197, UniRef:UniRef90_Q8ZQ96
contig_1	cds	1375571	1375777	+	HFCAGB_01377		Primosomal replication protein PriB/PriC domain protein	RefSeq:WP_000196190.1, SO:0001217, UniParc:UPI00004F7AB0, UniRef:UniRef100_A0A5X5HZX0, UniRef:UniRef50_A0A1V9DF11, UniRef:UniRef90_A0A315FBP9
contig_1	cds	1375774	1377321	+	HFCAGB_01378		phage portal protein	GO:0005198, GO:0019068, GO:0044423, RefSeq:WP_001009211.1, SO:0001217, UniParc:UPI00016A09F3, UniRef:UniRef100_A0A753Q4V6, UniRef:UniRef50_A0AAD1TTV2, UniRef:UniRef90_Q8ZQ95
contig_1	cds	1377272	1379326	+	HFCAGB_01379		ClpP-like prohead protease/major capsid protein fusion protein	EC:3.4.21.-, EC:3.4.21.92, GO:0004252, GO:0019082, KEGG:K01358, SO:0001217, UniParc:UPI00016A09F4, UniRef:UniRef100_E8XDI7, UniRef:UniRef50_D1P066, UniRef:UniRef90_A0A3R0G195
contig_1	cds	1379417	1379740	+	HFCAGB_01380		DUF2190 domain-containing protein	RefSeq:WP_001107908.1, SO:0001217, UniParc:UPI00000E5879, UniRef:UniRef100_A0A5X5HY97, UniRef:UniRef50_M7RD86, UniRef:UniRef90_M7RD86
contig_1	cds	1379766	1380032	+	HFCAGB_01381		Gifsy-2 prophage ATP-binding sugar transporter-like protein	SO:0001217, UniParc:UPI0001812C9C, UniRef:UniRef100_Q8ZQ92, UniRef:UniRef50_Q8ZQ92, UniRef:UniRef90_Q8ZQ92
contig_1	cds	1380013	1380579	+	HFCAGB_01382		Phage tail protein	RefSeq:WP_000453192.1, SO:0001217, UniParc:UPI00016A1D84, UniRef:UniRef100_A0A5T4AGP3, UniRef:UniRef50_A0A5Z8QST4, UniRef:UniRef90_A0A5U1IL28
contig_1	cds	1380576	1380977	+	HFCAGB_01383		Phage tail protein	KEGG:K26968, RefSeq:WP_000196703.1, SO:0001217, UniParc:UPI00016A1D85, UniRef:UniRef100_A0A5T4AF97, UniRef:UniRef50_O64326, UniRef:UniRef90_A0A3V2P191
contig_1	cds	1380989	1381738	+	HFCAGB_01384		Major tail protein	KEGG:K26969, RefSeq:WP_000132757.1, SO:0001217, UniParc:UPI00016A1D86, UniRef:UniRef100_A0A8X6ES70, UniRef:UniRef50_A0AAD1TYJ8, UniRef:UniRef90_E8XDJ2
contig_1	cds	1381784	1382182	+	HFCAGB_01385	gpG	phage tail assembly chaperone G	RefSeq:WP_000478858.1, SO:0001217, UniParc:UPI00016A1D87, UniRef:UniRef100_A0A5T4DKX9, UniRef:UniRef50_A0A402TSA3, UniRef:UniRef90_A0A3V9NSE3
contig_1	cds	1382257	1382508	+	HFCAGB_01386		phage tail assembly protein T	SO:0001217, UniParc:UPI00004F7AB2, UniRef:UniRef100_A0A0H3NAC2, UniRef:UniRef50_A0A3L2NM54, UniRef:UniRef90_A0A0H3NAC2
contig_1	cds	1382489	1385575	+	HFCAGB_01387	vmtH	Gifsy-1 prophage VmtH	SO:0001217, UniParc:UPI00016A1D89, UniRef:UniRef100_M7S466, UniRef:UniRef50_A0A379UNQ3, UniRef:UniRef90_A0A379UNQ3
