Gene,Non-unique Gene name,Annotation,GCF_000007545.1_ASM754v1_genomic,GCF_000020745.1_ASM2074v1_genomic,GCF_000020885.1_ASM2088v1_genomic,GCF_000020925.1_ASM2092v1_genomic,GCF_000022165.1_ASM2216v1_genomic,GCF_000170215.1_ASM17021v1_genomic,GCF_000170255.1_ASM17025v1_genomic,GCF_000171255.1_ASM17125v1_genomic,GCF_000171275.1_ASM17127v1_genomic,GCF_000171315.1_ASM17131v1_genomic,GCF_000171415.1_ASM17141v1_genomic,GCF_000171515.1_ASM17151v1_genomic,GCF_000171535.2_ASM17153v2_genomic
group_2805,,Citrate transporter-like domain-containing protein,GEGEGB_02161,LNHIMF_00966,BEJGEH_00837,HFCAGB_00917,AJBGEP_00863,ODDLKH_01329,OEKLIE_02837,ALJMDI_01177,PAPNPA_03326,BENMGJ_04504,IKCLMC_01437,PKJKAM_01059,ONMMKP_01278
group_2804,,Transporter,GEGEGB_00498,LNHIMF_02538,BEJGEH_02426,HFCAGB_02671,AJBGEP_02573,ODDLKH_02908,OEKLIE_02057,ALJMDI_02140,PAPNPA_04529,BENMGJ_02783,IKCLMC_01595,PKJKAM_02868,ONMMKP_04443
group_2802,,Type VI secretion system tube protein Hcp,GEGEGB_03209,LNHIMF_03177,BEJGEH_03147,HFCAGB_03359,AJBGEP_03307,ODDLKH_03566,OEKLIE_04465,ALJMDI_02901,PAPNPA_02247,BENMGJ_01850,IKCLMC_03725,PKJKAM_01942,ONMMKP_03708
group_2801,,DksA/TraR family C4-type zinc finger protein,GEGEGB_02177,LNHIMF_00954,BEJGEH_00825,HFCAGB_00905,AJBGEP_00851,ODDLKH_01317,OEKLIE_02825,ALJMDI_01165,PAPNPA_03313,BENMGJ_04491,IKCLMC_01425,PKJKAM_01071,ONMMKP_01290
group_2800,,Cytoplasmic protein,GEGEGB_03786,LNHIMF_04083,BEJGEH_04090,HFCAGB_04282,AJBGEP_04241,ODDLKH_04489,OEKLIE_03195,ALJMDI_00942,PAPNPA_01279,BENMGJ_01017,IKCLMC_00675,PKJKAM_01454,ONMMKP_02756
fabH,;fabH,3-oxoacyl-(Acyl-carrier-protein) synthase 3;beta-ketoacyl-ACP synthase III,GEGEGB_01828,LNHIMF_01229,BEJGEH_01901,HFCAGB_02105,AJBGEP_01194,ODDLKH_01600,OEKLIE_03062,ALJMDI_00471,PAPNPA_00035,BENMGJ_00023,IKCLMC_00839,PKJKAM_00556,ONMMKP_00944
group_2798,argF;,ornithine carbamoyltransferase;Ornithine carbamoyltransferase,GEGEGB_04746,LNHIMF_04541;LNHIMF_04542,BEJGEH_04540,HFCAGB_04682,AJBGEP_04677,ODDLKH_00334,OEKLIE_03547,ALJMDI_03893,PAPNPA_01432,BENMGJ_01146,IKCLMC_03365,PKJKAM_02239,ONMMKP_02326
pxpA,pxpA,5-oxoprolinase subunit PxpA,GEGEGB_02279,LNHIMF_00855,BEJGEH_00727,HFCAGB_00809,AJBGEP_00739,ODDLKH_01208,OEKLIE_02108,ALJMDI_01061,PAPNPA_03208,BENMGJ_04382,IKCLMC_00417,PKJKAM_00413,ONMMKP_01442
group_2797,,Cytoplasmic protein,GEGEGB_01279,LNHIMF_01375,BEJGEH_01762,HFCAGB_01960,AJBGEP_01403,ODDLKH_01802,OEKLIE_02924,ALJMDI_03133,PAPNPA_01231,BENMGJ_00909,IKCLMC_04851,PKJKAM_00893,ONMMKP_00807
dbpA,dbpA;,ATP-dependent RNA helicase DbpA;ATP-dependent RNA helicase,GEGEGB_01651;GEGEGB_01652,LNHIMF_01718,BEJGEH_01414,HFCAGB_01626,AJBGEP_01744,ODDLKH_02144,OEKLIE_02294,ALJMDI_03478,PAPNPA_04011,BENMGJ_03553,IKCLMC_04515,PKJKAM_04527,ONMMKP_00385
dtd,dtd,D-aminoacyl-tRNA deacylase,GEGEGB_03789,LNHIMF_04080,BEJGEH_04087,HFCAGB_04279,AJBGEP_04238,ODDLKH_04486,OEKLIE_03192,ALJMDI_00939,PAPNPA_01276,BENMGJ_01020,IKCLMC_00672,PKJKAM_01457,ONMMKP_02759
group_2792,,HPr family phosphocarrier protein;Hydroxypyruvate isomerase family protein,GEGEGB_02959,LNHIMF_02952,BEJGEH_02910,HFCAGB_03125,AJBGEP_03081,ODDLKH_03341,OEKLIE_01962,ALJMDI_02688,PAPNPA_03016,BENMGJ_02145,IKCLMC_03951,PKJKAM_02461,ONMMKP_03955
group_2791,,Nitrite reductase,GEGEGB_00055,LNHIMF_00052,BEJGEH_00053,HFCAGB_00054,AJBGEP_00052,ODDLKH_00528,OEKLIE_04638,ALJMDI_04075,PAPNPA_03542,BENMGJ_01660,IKCLMC_03157,PKJKAM_02053,ONMMKP_02130
group_2789,,Hydrolase C-terminus,GEGEGB_02338,LNHIMF_00795,BEJGEH_00660,HFCAGB_00743,AJBGEP_00674,ODDLKH_01143,OEKLIE_04273,ALJMDI_00753,PAPNPA_02678,BENMGJ_04316,IKCLMC_02472,PKJKAM_00374,ONMMKP_01505
dtnK,dtnK;,D-threonate kinase;Dihydrodipicolinate synthase,GEGEGB_00178,LNHIMF_00169,BEJGEH_00182,HFCAGB_00172,AJBGEP_00173,ODDLKH_00646,OEKLIE_04759,ALJMDI_04195,PAPNPA_03667,BENMGJ_01537;BENMGJ_01536,IKCLMC_03037,PKJKAM_00753,ONMMKP_02009
mdtL,mdtL,Multidrug resistance protein MdtL,GEGEGB_03883,LNHIMF_03897,BEJGEH_03896,HFCAGB_04096,AJBGEP_04052,ODDLKH_04302,OEKLIE_00117,ALJMDI_02207,PAPNPA_00079,BENMGJ_03213,IKCLMC_02540,PKJKAM_03516,ONMMKP_02938
proV,;proV,Glycine betaine/L-proline ABC transporter ATP-binding protein;glycine betaine/L-proline ABC transporter ATP-binding protein ProV,GEGEGB_02853;GEGEGB_02854,LNHIMF_02845,BEJGEH_02797,HFCAGB_03015,AJBGEP_02971,ODDLKH_03232,OEKLIE_02569,ALJMDI_01386,PAPNPA_00678,BENMGJ_00665,IKCLMC_04058,PKJKAM_02574,ONMMKP_04066
group_2788,,cobyrinate ac-diamide synthase,GEGEGB_00893,LNHIMF_02115,BEJGEH_02052,HFCAGB_02294,AJBGEP_02195,ODDLKH_02529,OEKLIE_03660,ALJMDI_01779,PAPNPA_04149,BENMGJ_02393,IKCLMC_01975,PKJKAM_04126,ONMMKP_04811
group_2787,,UDP-N-acetylenolpyruvoylglucosamine reductase,GEGEGB_03677,LNHIMF_04186,BEJGEH_04198,HFCAGB_04396,AJBGEP_04351,ODDLKH_00004,OEKLIE_00055,ALJMDI_00005,PAPNPA_00018,BENMGJ_00016,IKCLMC_00035,PKJKAM_01344,ONMMKP_02649
rbsA,rbsA,ribose ABC transporter ATP-binding protein RbsA,GEGEGB_03842,LNHIMF_03933,BEJGEH_03935,HFCAGB_04133,AJBGEP_04089,ODDLKH_04338,OEKLIE_00456,ALJMDI_02170,PAPNPA_00128,BENMGJ_00108,IKCLMC_02504,PKJKAM_01600,ONMMKP_02901
gsk,;gsk,Inosine/guanosine kinase;Guanosine-inosine kinase;inosine/guanosine kinase,GEGEGB_02499,LNHIMF_00516,BEJGEH_00503,HFCAGB_00516,AJBGEP_00511,ODDLKH_00979,OEKLIE_04109;OEKLIE_04110,ALJMDI_00615,PAPNPA_02514,BENMGJ_04153,IKCLMC_02254,PKJKAM_03250,ONMMKP_01666
cutC,cutC,copper homeostasis protein CutC,GEGEGB_01037,LNHIMF_01984,BEJGEH_01157,HFCAGB_01307,AJBGEP_02007,ODDLKH_02402,OEKLIE_01046,ALJMDI_00269,PAPNPA_00444,BENMGJ_03814,IKCLMC_04242,PKJKAM_04254,ONMMKP_00121
group_2785,,HTH iclR-type domain-containing protein,GEGEGB_03170,LNHIMF_03143,BEJGEH_03112,HFCAGB_03325,AJBGEP_03272,ODDLKH_03532,OEKLIE_04500,ALJMDI_02867,PAPNPA_00151,BENMGJ_02355,IKCLMC_03759,PKJKAM_00292,ONMMKP_03758
group_2784,,Chemo-receptor protein,GEGEGB_01655,LNHIMF_01721,BEJGEH_01411,HFCAGB_01623,AJBGEP_01747,ODDLKH_02147,OEKLIE_02297,ALJMDI_03481,PAPNPA_04014,BENMGJ_03556,IKCLMC_04512,PKJKAM_04524,ONMMKP_00382
tdcC,;tdcC,Threonine/serine transporter;L-threonine transporter anaerobically inducible;threonine/serine transporter TdcC,GEGEGB_03333;GEGEGB_03332,LNHIMF_03298,BEJGEH_03272,HFCAGB_03476,AJBGEP_03424,ODDLKH_03682,OEKLIE_04349,ALJMDI_03021,PAPNPA_02364,BENMGJ_01966,IKCLMC_03608,PKJKAM_01786,ONMMKP_03591
surA,surA,peptidylprolyl isomerase SurA;SurA N-terminal domain-containing protein,GEGEGB_00099,LNHIMF_00095,BEJGEH_00096,HFCAGB_00092,AJBGEP_00097,ODDLKH_00571,OEKLIE_04683,ALJMDI_04118,PAPNPA_03584,BENMGJ_01618,IKCLMC_03114,PKJKAM_02010;PKJKAM_02011,ONMMKP_02088
ssaK,ssaK,SPI-2 type III secretion system apparatus protein SsaK,GEGEGB_01358,LNHIMF_01462,BEJGEH_01675,HFCAGB_01871,AJBGEP_01492,ODDLKH_01891,OEKLIE_00318,ALJMDI_03222,PAPNPA_00860,BENMGJ_03301,IKCLMC_04764,PKJKAM_00805,ONMMKP_00639
group_2783,,DUF1062 domain-containing protein,GEGEGB_04807,LNHIMF_04575,BEJGEH_04616,HFCAGB_04733,AJBGEP_04717,ODDLKH_00376,OEKLIE_03588,ALJMDI_03938,PAPNPA_01476,BENMGJ_01106,IKCLMC_03311,PKJKAM_02205,ONMMKP_02271
group_2782,,Decarboxylase,GEGEGB_00490,LNHIMF_02544,BEJGEH_02432,HFCAGB_02677;HFCAGB_02678,AJBGEP_02579,ODDLKH_02914,OEKLIE_02063,ALJMDI_02152,PAPNPA_04535,BENMGJ_02791,IKCLMC_01589,PKJKAM_02862,ONMMKP_04437
hflK,hflK,FtsH protease activity modulator HflK,GEGEGB_04658,LNHIMF_04459,BEJGEH_04439,HFCAGB_04598,AJBGEP_04574,ODDLKH_00234,OEKLIE_00198;OEKLIE_00199,ALJMDI_03810,PAPNPA_02893,BENMGJ_00377,IKCLMC_03448,PKJKAM_01157,ONMMKP_02426
rbn,rbn,ribonuclease BN,GEGEGB_00592,LNHIMF_02452,BEJGEH_02338,HFCAGB_02575,AJBGEP_02484,ODDLKH_02819,OEKLIE_02488,ALJMDI_02056,PAPNPA_04441,BENMGJ_02682,IKCLMC_01685,PKJKAM_02955,ONMMKP_04531
spaO,spaO,SPI-1 type III secretion system protein SpaO,GEGEGB_02938,LNHIMF_02931,BEJGEH_02883,HFCAGB_03101,AJBGEP_03057,ODDLKH_03317,OEKLIE_01938,ALJMDI_02667,PAPNPA_02990,BENMGJ_02121,IKCLMC_03975,PKJKAM_02488,ONMMKP_03979
group_2779,,DUF2474 domain-containing protein,GEGEGB_02639,LNHIMF_00389,BEJGEH_00371,HFCAGB_00382,AJBGEP_00381,ODDLKH_00849,OEKLIE_02714,ALJMDI_04362,PAPNPA_01935,BENMGJ_04021,IKCLMC_02122,PKJKAM_03381,ONMMKP_01797
preA,preA;,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA;dihydrouracil dehydrogenase (NAD(+)),GEGEGB_00715;GEGEGB_00716,LNHIMF_02336,BEJGEH_02222,HFCAGB_02455,AJBGEP_02354,ODDLKH_02689,OEKLIE_03820,ALJMDI_01949,PAPNPA_04325,BENMGJ_02553,IKCLMC_01803,PKJKAM_03943,ONMMKP_04651
group_2778,,Hemolysin-coregulated protein (Uncharacterized),GEGEGB_04814,LNHIMF_04582,BEJGEH_04623,HFCAGB_04740,AJBGEP_04726,ODDLKH_00385,OEKLIE_03597,ALJMDI_03945,PAPNPA_01483,BENMGJ_01097,IKCLMC_03304,PKJKAM_02196,ONMMKP_02264
ydcK,ydcK,YdcK family protein,GEGEGB_01605,LNHIMF_01671,BEJGEH_01466,HFCAGB_01675,AJBGEP_01697,ODDLKH_02097,OEKLIE_02247,ALJMDI_03432,PAPNPA_03961,BENMGJ_03506,IKCLMC_04562,PKJKAM_04574,ONMMKP_00436
sipA,sipA,SPI-1 type III secretion system effector SipA,GEGEGB_02929,LNHIMF_02922,BEJGEH_02874,HFCAGB_03092,AJBGEP_03048,ODDLKH_03308,OEKLIE_01929,ALJMDI_02658,PAPNPA_02981,BENMGJ_02112,IKCLMC_03984,PKJKAM_02497,ONMMKP_03988
kbl,kbl,glycine C-acetyltransferase,GEGEGB_04028,LNHIMF_03751,BEJGEH_03755,HFCAGB_03958,AJBGEP_03906,ODDLKH_04164,OEKLIE_00957,ALJMDI_02349,PAPNPA_01794,BENMGJ_03073,IKCLMC_02673,PKJKAM_03651,ONMMKP_03127
punR,;punR,Transcriptional regulator;DNA-binding transcriptional activator PunR,GEGEGB_01376,LNHIMF_01480,BEJGEH_01657,HFCAGB_01853,AJBGEP_01510,ODDLKH_01910,OEKLIE_00982,ALJMDI_03240,PAPNPA_03767,BENMGJ_03319,IKCLMC_04746,PKJKAM_00071,ONMMKP_00621
group_2776,,DNA polymerase III subunit psi,GEGEGB_04858,LNHIMF_04624,BEJGEH_04659,HFCAGB_04796,AJBGEP_04774,ODDLKH_00433,OEKLIE_04543,ALJMDI_03981,PAPNPA_03448,BENMGJ_00771,IKCLMC_03252,PKJKAM_02149,ONMMKP_02224
torR,torR;,TorCAD operon transcriptional regulatory protein TorR;Two-component transcriptional regulator;two-component system response regulator TorR,GEGEGB_03902;GEGEGB_03901,LNHIMF_03878,BEJGEH_03880,HFCAGB_04076,AJBGEP_04025,ODDLKH_04282,OEKLIE_02674,ALJMDI_02225,PAPNPA_01074,BENMGJ_03193,IKCLMC_02564,PKJKAM_03536,ONMMKP_03013
csrD,csrD,RNase E specificity factor CsrD,GEGEGB_03468,LNHIMF_03427,BEJGEH_03404,HFCAGB_03608,AJBGEP_03557,ODDLKH_03818,OEKLIE_01280,ALJMDI_00114,PAPNPA_00493,BENMGJ_00261,IKCLMC_03474,PKJKAM_01651,ONMMKP_03464
yceB,;yceB,lipoprotein,GEGEGB_01858,LNHIMF_01199,BEJGEH_01930,HFCAGB_02136,AJBGEP_01164,ODDLKH_01570,OEKLIE_01221,ALJMDI_00441,PAPNPA_00387,BENMGJ_00500,IKCLMC_00809,PKJKAM_00579,ONMMKP_00974
group_2772,,ABC transport protein,GEGEGB_02233,LNHIMF_00902,BEJGEH_00771,HFCAGB_00851,AJBGEP_00795,ODDLKH_01264,OEKLIE_00860,ALJMDI_01107,PAPNPA_03251,BENMGJ_04438,IKCLMC_01365,PKJKAM_01124,ONMMKP_01386
yegS,yegS,lipid kinase YegS,GEGEGB_00765,LNHIMF_02288,BEJGEH_02174,HFCAGB_02407,AJBGEP_02306,ODDLKH_02641,OEKLIE_03773,ALJMDI_01901,PAPNPA_04278,BENMGJ_02505,IKCLMC_01851,PKJKAM_03991,ONMMKP_04700
group_2771,,GyrI-like domain-containing protein;Regulatory protein;HTH araC/xylS-type domain-containing protein,GEGEGB_01669,LNHIMF_01735,BEJGEH_01397,HFCAGB_01609,AJBGEP_01760,ODDLKH_02160,OEKLIE_01424,ALJMDI_03495,PAPNPA_04029,BENMGJ_03570,IKCLMC_04498,PKJKAM_04510,ONMMKP_00368
group_2769,,pyridoxal phosphatase,GEGEGB_02219,LNHIMF_00916,BEJGEH_00785,HFCAGB_00865,AJBGEP_00809,ODDLKH_01278,OEKLIE_00874,ALJMDI_01121,PAPNPA_03265,BENMGJ_04452,IKCLMC_01379,PKJKAM_01110,ONMMKP_01372
group_2768,,Hydrogenase,GEGEGB_01535,LNHIMF_01589,BEJGEH_01550,HFCAGB_01743,AJBGEP_01617,ODDLKH_02017,OEKLIE_02167,ALJMDI_03349,PAPNPA_03875,BENMGJ_03424,IKCLMC_04638,PKJKAM_04653,ONMMKP_00516
group_2767,,Inner membrane protein,GEGEGB_04853,LNHIMF_04619,BEJGEH_04654,HFCAGB_04791,AJBGEP_04769,ODDLKH_00428,6_refound_249,ALJMDI_03976,PAPNPA_01526,9_refound_376_pseudo,IKCLMC_03257,PKJKAM_02154,ONMMKP_02229
fhuF,fhuF,siderophore-iron reductase FhuF,GEGEGB_04851,LNHIMF_04617,BEJGEH_04652,HFCAGB_04789,AJBGEP_04767,ODDLKH_00426,OEKLIE_03638,ALJMDI_03974,PAPNPA_01524,BENMGJ_01056,IKCLMC_03259,PKJKAM_02156,ONMMKP_02231
ubiI,ubiI,FAD-dependent 2-octaprenylphenol hydroxylase,GEGEGB_03131,LNHIMF_03103,BEJGEH_03071,HFCAGB_03283,AJBGEP_03231,ODDLKH_03491,OEKLIE_01190,ALJMDI_02827,PAPNPA_03172,BENMGJ_02314,IKCLMC_03800,PKJKAM_02308,ONMMKP_03799
cobC,cobC,adenosylcobalamin/alpha-ribazole phosphatase,GEGEGB_02345,LNHIMF_00788,BEJGEH_00653,HFCAGB_00736,AJBGEP_00667,ODDLKH_01136,OEKLIE_04266,ALJMDI_00746,PAPNPA_02671,BENMGJ_04309,IKCLMC_02465,PKJKAM_00381,ONMMKP_01512
group_2762,,TetR/AcrR family transcriptional regulator;HTH tetR-type domain-containing protein,GEGEGB_01386,LNHIMF_01490,BEJGEH_01647,HFCAGB_01843,AJBGEP_01520,ODDLKH_01920,OEKLIE_00992,ALJMDI_03250,PAPNPA_03777,BENMGJ_03329,IKCLMC_04736,PKJKAM_00081,ONMMKP_00611
phnX,phnX,phosphonoacetaldehyde hydrolase,GEGEGB_02564,LNHIMF_00458,BEJGEH_00440,HFCAGB_00456,AJBGEP_00452,ODDLKH_00920,OEKLIE_02785,ALJMDI_04431,PAPNPA_02006,BENMGJ_04092,IKCLMC_02194,PKJKAM_03310,ONMMKP_01725
group_2760,,Amino acid permease/ SLC12A domain-containing protein,GEGEGB_00549,LNHIMF_02494,BEJGEH_02382,HFCAGB_02620,AJBGEP_02528,ODDLKH_02863,OEKLIE_02012,ALJMDI_02098,PAPNPA_04485,BENMGJ_02724,IKCLMC_01640,PKJKAM_02913,ONMMKP_04488
group_2759,,DUF1158 domain-containing protein,GEGEGB_02410,LNHIMF_00725,BEJGEH_00590,HFCAGB_00670,AJBGEP_00605,ODDLKH_01072,OEKLIE_04204,ALJMDI_00683,PAPNPA_02609,BENMGJ_04247,IKCLMC_02403,PKJKAM_03102,ONMMKP_01574
hisS,hisS,histidine--tRNA ligase,GEGEGB_00365,LNHIMF_02660,BEJGEH_02553,HFCAGB_02800,AJBGEP_02698,ODDLKH_03030,OEKLIE_03166,ALJMDI_01633,PAPNPA_02137,BENMGJ_01768,IKCLMC_01259,PKJKAM_02743,ONMMKP_04318
mliC,;mliC,Lysozyme inhibitor;C-type lysozyme inhibitor,GEGEGB_01395,LNHIMF_01500,BEJGEH_01638,HFCAGB_01833,AJBGEP_01530,ODDLKH_01930,OEKLIE_01002,ALJMDI_03260,PAPNPA_03787,BENMGJ_03339,IKCLMC_04726,PKJKAM_00196,ONMMKP_00601
group_2758,;uraA,Permease;solute carrier family 23 protein;Xanthine permease,GEGEGB_04106;GEGEGB_04105,LNHIMF_03676,BEJGEH_03672,HFCAGB_03876,AJBGEP_03824,ODDLKH_04083,OEKLIE_04007,ALJMDI_02429,PAPNPA_01718,BENMGJ_02992,IKCLMC_02755,PKJKAM_03733,ONMMKP_03211
torS,torS,TMAO reductase system sensor histidine kinase/response regulator TorS,GEGEGB_03899,LNHIMF_03880,BEJGEH_03882,HFCAGB_04078,AJBGEP_04027,ODDLKH_04284,OEKLIE_02676,ALJMDI_02223,PAPNPA_01076,BENMGJ_03195,IKCLMC_02562,PKJKAM_03534,ONMMKP_03011
group_2755,,Solute-binding protein family 3/N-terminal domain-containing protein,GEGEGB_04647,LNHIMF_04448,BEJGEH_04427,HFCAGB_04586,AJBGEP_04562,ODDLKH_00222,OEKLIE_00533,ALJMDI_03798,PAPNPA_02882,BENMGJ_00387,IKCLMC_01159,PKJKAM_01169,ONMMKP_02438
punC,punC,purine nucleoside transporter PunC,GEGEGB_01375,LNHIMF_01479,BEJGEH_01658,HFCAGB_01854,AJBGEP_01509,ODDLKH_01909,OEKLIE_00981,ALJMDI_03239,PAPNPA_03766,BENMGJ_03318,IKCLMC_04747,PKJKAM_00788,ONMMKP_00622
dkgA,;dkgA,25-diketo-D-gluconic acid reductase A;aldo/keto reductase;25-didehydrogluconate reductase DkgA,GEGEGB_03243;GEGEGB_03244,LNHIMF_03215,BEJGEH_03181,HFCAGB_03394,AJBGEP_03342,ODDLKH_03600,OEKLIE_04431,ALJMDI_02939,PAPNPA_02282,BENMGJ_01884,IKCLMC_03691,PKJKAM_01908,ONMMKP_03673
hemD,hemD,uroporphyrinogen-III synthase,GEGEGB_03544,LNHIMF_03990,BEJGEH_03990,HFCAGB_04186,AJBGEP_04142,ODDLKH_04390,OEKLIE_01303,ALJMDI_00844,PAPNPA_00516,BENMGJ_00570,IKCLMC_00501,PKJKAM_01546,ONMMKP_02848
kduI,kduI,5-dehydro-4-deoxy-D-glucuronate isomerase,GEGEGB_03082,LNHIMF_03061,BEJGEH_03028,HFCAGB_03240,AJBGEP_03189,ODDLKH_03450,OEKLIE_01148,ALJMDI_02788,PAPNPA_03131,BENMGJ_02263,IKCLMC_03843,PKJKAM_02348,ONMMKP_03841
yebG,yebG,DNA damage-inducible protein YebG,GEGEGB_01063,LNHIMF_01958,BEJGEH_01183,HFCAGB_01334,AJBGEP_01980,ODDLKH_02376,OEKLIE_01411,ALJMDI_00243,PAPNPA_00774,BENMGJ_03788,IKCLMC_04272,PKJKAM_04281,ONMMKP_00148
group_2748,,hypothetical protein,0_refound_23_pseudo,LNHIMF_02357,BEJGEH_02244,3_refound_113,AJBGEP_02375,ODDLKH_02710,OEKLIE_03841,7_refound_293_pseudo,PAPNPA_04347,BENMGJ_02573,IKCLMC_01783,PKJKAM_00057,ONMMKP_04629
group_2747,,Glycoside hydrolase family 5 domain-containing protein,GEGEGB_03926,LNHIMF_03854,BEJGEH_03856,HFCAGB_04052,AJBGEP_04001,ODDLKH_04258,OEKLIE_02650,ALJMDI_02249,PAPNPA_01050,BENMGJ_03168,IKCLMC_02589,PKJKAM_03560,ONMMKP_03037
group_2746,,Inner membrane protein,GEGEGB_03238,LNHIMF_03210,BEJGEH_03176,HFCAGB_03389,AJBGEP_03337,ODDLKH_03595,OEKLIE_04436,ALJMDI_02934,PAPNPA_02277,BENMGJ_01879,IKCLMC_03696,PKJKAM_01913,ONMMKP_03678
ispU,ispU,(2E6E)-farnesyl-diphosphate-specific ditranspolycis-undecaprenyl-diphosphate synthase,GEGEGB_00237,LNHIMF_00231,BEJGEH_00245,HFCAGB_00235,AJBGEP_00235,ODDLKH_00708,OEKLIE_04821,ALJMDI_04257,PAPNPA_03735,BENMGJ_00267,IKCLMC_02975,PKJKAM_00684,ONMMKP_01941
group_2741,,metallo-dependent hydrolase,GEGEGB_04713,LNHIMF_04510,BEJGEH_04490,HFCAGB_04650,AJBGEP_04624,ODDLKH_00284,OEKLIE_03494,ALJMDI_03861,PAPNPA_01401,BENMGJ_01178,IKCLMC_03396,PKJKAM_02290,ONMMKP_02376
grxB,grxB,glutaredoxin 2,GEGEGB_01857,LNHIMF_01200,BEJGEH_01929,HFCAGB_02135,AJBGEP_01165,ODDLKH_01571,OEKLIE_01222,ALJMDI_00442,PAPNPA_00388,BENMGJ_00501,IKCLMC_00810,PKJKAM_00578,ONMMKP_00973
cspJ,cspJ,Cold shock-like protein CspJ,GEGEGB_00947,LNHIMF_02073,BEJGEH_01069,HFCAGB_01218,AJBGEP_02098,ODDLKH_02491,OEKLIE_01622,ALJMDI_00032,PAPNPA_00352,BENMGJ_00465,IKCLMC_04154,PKJKAM_04165,ONMMKP_00032
group_2740,,Putative outer membrane protein;Kinase inhibitor,GEGEGB_01949,LNHIMF_01114,BEJGEH_00985,HFCAGB_01129,AJBGEP_01079,ODDLKH_01485,OEKLIE_00421,ALJMDI_00356,PAPNPA_00923,BENMGJ_01304,IKCLMC_00577,PKJKAM_00667,ONMMKP_01059
ssaE,ssaE,YscE family type III secretion system co-chaperone SsaE,GEGEGB_01343,LNHIMF_01447,BEJGEH_01690,HFCAGB_01886,AJBGEP_01477,ODDLKH_01876,OEKLIE_00303,ALJMDI_03207,PAPNPA_00845,BENMGJ_03286,IKCLMC_04779,PKJKAM_00820,ONMMKP_00654
group_2739,,CPBP family intramembrane metalloprotease,GEGEGB_00529,LNHIMF_02513,BEJGEH_02401,HFCAGB_02641,AJBGEP_02548,ODDLKH_02883,OEKLIE_02032,ALJMDI_02115,PAPNPA_04504,BENMGJ_02744,IKCLMC_01620,PKJKAM_02893,ONMMKP_04468
group_2738,,DUF386 domain-containing protein,GEGEGB_04749,LNHIMF_04545,BEJGEH_04543,HFCAGB_04685,AJBGEP_04680,ODDLKH_00337,OEKLIE_03550,ALJMDI_03896,PAPNPA_01435,BENMGJ_01143,IKCLMC_03362,PKJKAM_02236,ONMMKP_02323
yfiR,yfiR,YfiR family protein,GEGEGB_02766,LNHIMF_02761,BEJGEH_02692,HFCAGB_02904,AJBGEP_02871,ODDLKH_03133,OEKLIE_02501,ALJMDI_01504,PAPNPA_00277,BENMGJ_00536,IKCLMC_04138,PKJKAM_02637,ONMMKP_04215
group_2737,,DNA/RNA non-specific endonuclease;Endonuclease,GEGEGB_01284,LNHIMF_01380,BEJGEH_01757,HFCAGB_01955,AJBGEP_01408,ODDLKH_01807,OEKLIE_02919,ALJMDI_03138,PAPNPA_01236,BENMGJ_00914,IKCLMC_04846,PKJKAM_00888,ONMMKP_00802
gmm,gmm,GDP-mannose mannosyl hydrolase,GEGEGB_00813,LNHIMF_02254,BEJGEH_02128,HFCAGB_02371,AJBGEP_02271,ODDLKH_02605,OEKLIE_03736,ALJMDI_01856,PAPNPA_04228,BENMGJ_02469,IKCLMC_01894,PKJKAM_04047,ONMMKP_04742
xthA,xthA,exodeoxyribonuclease III,GEGEGB_01252,LNHIMF_01351,BEJGEH_01786,HFCAGB_01984,AJBGEP_01379,ODDLKH_01778,OEKLIE_02948,ALJMDI_03109,PAPNPA_01207,BENMGJ_00885,IKCLMC_04875,PKJKAM_00917,ONMMKP_00831
ycaR,ycaR,protein YcaR,GEGEGB_02056,LNHIMF_01076,BEJGEH_00944,HFCAGB_01032,AJBGEP_00979,ODDLKH_01444,OEKLIE_00397,ALJMDI_01287,PAPNPA_00882,BENMGJ_01203,IKCLMC_01552,PKJKAM_00944,ONMMKP_01160
group_2735,,Thioredoxin domain-containing protein,GEGEGB_01910,LNHIMF_01148,BEJGEH_01018,HFCAGB_01163,AJBGEP_01113,ODDLKH_01519,OEKLIE_01555,ALJMDI_00390,PAPNPA_00957,BENMGJ_01337,IKCLMC_00611,PKJKAM_00632,ONMMKP_01025
lacI,;lacI,Transcriptional regulator;LacI family transcriptional regulator,GEGEGB_03076,LNHIMF_03055,BEJGEH_03022,HFCAGB_03234,AJBGEP_03183,ODDLKH_03444,OEKLIE_01142,ALJMDI_02782,PAPNPA_03125,BENMGJ_02257,IKCLMC_03849,PKJKAM_02354,ONMMKP_03847
hyaA,;hyaA,hydrogenase (acceptor);Hydrogenase-1 small chain,GEGEGB_01162;GEGEGB_01161,LNHIMF_01857,BEJGEH_01279,HFCAGB_01491,AJBGEP_01878,ODDLKH_02277,OEKLIE_01881,ALJMDI_03614,PAPNPA_00595,BENMGJ_03686,IKCLMC_04380,PKJKAM_04392,ONMMKP_00251
dedD,dedD,cell division protein DedD,GEGEGB_00542,LNHIMF_02501,BEJGEH_02389,HFCAGB_02627,AJBGEP_02535,ODDLKH_02870,OEKLIE_02019,ALJMDI_02105,PAPNPA_04492,BENMGJ_02731,IKCLMC_01633,PKJKAM_02906,ONMMKP_04481
